Front,Back
"On average, how many neutrons are produced during the $U-235$ fission process?","2.5 neutrons"
"Which process is responsible for the initial slowing down of neutrons by interacting with Uranium nuclei?","Inelastic Scattering"
"The slowing down of neutrons is completed through Elastic Scattering with _____.","Lighter nuclei (Moderator)"
"Formula: Moderating Ratio","$\frac{\xi \Sigma_{s}}{\Sigma_{a}}$"
"What is the value of the Moderating Ratio for Light Water ($H_{2}O$)?","72"
"What is the approximate Moderating Ratio for Heavy Water ($D_{2}O$)?","21000"
"Why is $D_{2}O$ selected over $H_{2}O$ as a moderator despite $H_{2}O$ having a higher slowing down power?","$H_{2}O$ has a much higher neutron absorption cross-section."
"What is the primary purpose of the heavy water moderator in the reactor core?","To maintain criticality by slowing down high-energy neutrons to thermal levels."
"During a Loss of Coolant Accident (LOCA) with ECCS failure, what secondary role does the moderator perform?","It functions as a heat sink."
"To ensure heat sink capability, the moderator temperature in the calandria is maintained at approximately _____ during normal operation.","$65^{\circ} C$"
"How much heat (in $MW_{th}$) is the Moderator Main Circulation system designed to remove from the 700 MWe reactor core?","41 $MW_{th}$"
"Which specific reactor components receive cooling water directly from the Moderator Main Circulation system?","Adjuster rods"
"The Moderator Main Circulation system supplies power water to _____ for the addition of liquid poison.","ALPAS"
"Why is liquid poison removed from the moderator during reactor startup?","To increase reactivity by removing neutron absorbers like boron."
"Which gas is used in the calandria space above the moderator to accommodate volume changes?","Helium"
"The process where heavy water breaks down into deuterium and oxygen due to radiation is called _____.","Radiolysis"
"Why must the helium cover gas be circulated continuously through recombination units?","To keep the deuterium concentration below its explosive limit."
"How does the presence of impurities in the moderator affect the rate of radiolysis?","It increases the radiolysis rate."
"Which stainless steel grade is selected for the moderator system to minimize corrosion and activation products?","304L"
"Reactor control is achieved by moving materials like Cobalt and Cadmium, which possess a large _____.","Capture cross-section for thermal neutrons"
"What is the thermal neutron capture cross-section of Deuterium ($D$)?","$0.0005\text{ barns}$"
"What is the thermal neutron capture cross-section of Hydrogen ($H$)?","$0.33\text{ barns}$"
"In a PHWR, the use of $D_{2}O$ as a moderator allows the sustainment of a chain reaction using _____ uranium.","Natural"
"Which four principal isotopic species make up natural water?","$H_{2}O^{16}$, $H_{2}O^{17}$, $H_{2}O^{18}$, and $HDO^{16}$"
"What is the target energy level for neutrons to be in thermal equilibrium with the moderator medium?","$0.025\text{ eV}$"
"Criterion: A neutron poison used in the moderator must have a high _____ for thermal neutrons.","Absorption cross-section"
"Why is neutral water chemistry maintained in the moderator system?","To reduce the radiolytic decomposition of $D_{2}O$."
"What parameter is measured to monitor ionic impurities and potential $pH$ excursions in the moderator?","Specific Conductivity"
"If $D_{2}O$ moderator in a PHWR is replaced by light water, what happens to core reactivity?","It decreases drastically due to the high absorption cross-section of $H_{2}O$."
"Which moderator material is used in RBMK type reactors alongside lightly enriched uranium?","Graphite"
"Why is making steam from heavy water considered non-economical for power turbines?","Heavy water is significantly more expensive than light water."
"The absorption of neutrons by heavy water leads to the production of which radioactive isotope?","Tritium"
"In reactor physics, the 'Slowing Down Power' of a moderator is represented by the term _____.","$\xi \Sigma_{s}$"
"Concept: Migration Length ($M^{2}$)","Definition: The sum of the square of the diffusion length ($L^{2}$) and the square of the slowing down length ($L_{s}^{2}$)."
"Why do light water reactors have a smaller lattice pitch than heavy water reactors?","Light water thermalizes neutrons much more quickly, resulting in a smaller migration length."
"What effect does increasing moderator temperature have on reactivity if Boron is present?","It results in a significant gain in reactivity due to reduced neutron absorption."
"What is the required thickness saturation criterion for hot conditioning termination?","Magnetite layer saturation"
"During hot conditioning, the crud content should stabilize to less than _____ towards the end of the process.","$0.1\text{ mg/kg}$"
"What study is used to confirm the formation of the protective magnetite layer on carbon steel?","X-Ray Diffraction (XRD)"
"What is the normal moderator flow rate at the calandria outlet for a 700 MWe reactor?","$4320\text{ m}^{3}/\text{hr}$"
"How is the moderator level normally maintained in the calandria?","At 100% Full Tank (FT)"
"A very small amount of impurity in a moderator can substantially increase its _____.","Capture cross-section"
"Which sub-system is responsible for removing Boron from the moderator during startup?","Moderator Purification System"
"What is the primary danger of dissolved $D_{2}$ and $O_{2}$ in the cover gas system?","They can reach explosive concentrations."
"Neutron moderation in the surrounding medium occurs through the _____ of fission neutrons until they reach thermal equilibrium.","Bouncing (Elastic scattering)"
"Why is high chemical purity essential for the moderator?","To minimize neutron absorption and control the rate of radiolysis."
"Which reactivity control device is used to counteract excess reactivity from new fuel or lack of Xenon?","Liquid poison (Boron/Gadolinium)"
"What is the function of the 'Shim Rods' in the reactor?","To provide secondary reactivity control."
"Under what condition is the heat sink capability of the moderator most critical?","LOCA coincident with ECCS failure."
"The ability of a material to reduce neutron energy rapidly is indicated by the number of _____ required.","Collisions"
"Which property of a poison ensures ease of addition to the heavy water medium?","High solubility"
"How does high isotopic purity of $D_{2}O$ affect neutron economy?","It minimizes the presence of light hydrogen, which has a high absorption cross-section."
"What is the mass number of Heavy Water ($D_{2}O$)?","20"
"What is the mass number of Graphite ($C$)?","12"
"Comparing $D_{2}O$ and Graphite, which has a higher Moderating Ratio?","$D_{2}O$"
"How does the 'Lattice Pitch' of a reactor using $D_{2}O$ as a moderator compare to one using $H_{2}O$?","It is larger in $D_{2}O$ moderated reactors."
"What are the three essential requirements for moderator materials in thermal reactors?","Low mass number, small absorption cross-section, and large scattering cross-section."
"Which moderator material is used in approximately 75% of reactors worldwide?","Light water ($H_{2}O$)"
"What is the main disadvantage of reactor control by absorber material?","Neutron wastage (loss of neutron economy)."
"Which system is provided to maintain the purity and conductivity of heavy water?","Moderator Purification System"
"The temperature of the moderator increases during operation due to the exchange of _____ during thermalisation.","Kinetic energy"
"Which component in the main circulation system is responsible for removing 41 MWth of heat?","Moderator Heat Exchangers"
"What is the primary role of 'Regulating Rods'?","To provide fine-tuned, continuous control of reactor power."
"How many neutrons are needed to be absorbed by a $U-235$ nucleus to trigger fission?","One thermal neutron"
"Identify one non-nuclear consideration for selecting a moderator material.","Cost (or corrosion, boiling point, etc.)"
"Which material is used as a moderator in AGR and Magnox reactors?","Graphite"
"The abundance of $O^{18}$ in natural water is approximately _____.","0.2%"
"Which sub-system accommodates changes in moderator volume due to liquid poison injection?","Moderator Cover Gas System"
"The addition of _____ to the moderator is used to keep the reactor subcritical during prolonged shutdowns.","Neutron poison"
"Term: ALPAS","Definition: Addition of Liquid Poison Addition System."
